building_id,model_n,model_mae_kwh,model_rmse_kwh,model_cvrmse_percent,model_nmbe_percent,model_r2,persistence_n,persistence_mae_kwh,persistence_rmse_kwh,persistence_cvrmse_percent,persistence_nmbe_percent,persistence_r2,interval_coverage
0,8760,184.79178349239362,253.42065861131948,64.93760969320505,2.6203938444460158,0.7215102905506575,8760,148.93665639269406,261.99826573616036,67.13557297933507,0.2659321908205509,0.7023389874975033,0.9517123287671233
1,8760,30.52961912198371,53.15522970233283,50.62882035697308,-2.4881134659191324,0.7901802481354203,8760,24.217877853881276,59.99452035489704,57.143047080418164,0.5186868415703709,0.7327131814103593,0.9704337899543379
2,8760,73.19140626030993,142.26973987560882,91.59299034011306,12.505618399139985,0.8545467402984495,8760,54.69038698630138,156.88671949620473,101.00337426547512,0.028832013522699425,0.8231232508772557,0.9786529680365297
3,8760,58.60606575311462,84.52080724701871,50.124158220785496,5.646702216324679,0.7824496576584241,8760,60.0597602739726,108.73389610130718,64.48347087144765,0.6236146465455118,0.6399503459630529,0.9383561643835616
4,8760,24.556553259497395,38.37102446153454,79.9861559232231,6.019760616304623,0.7980678757376343,8760,16.385479452054792,43.506550571181116,90.69139504358476,0.5767528792907136,0.7403980634006317,0.9535388127853881
5,8760,95.30271670970185,163.3041207212621,53.46280718624177,-1.4656516435865408,0.6953308990936884,8760,102.38310616438356,201.01701467164418,65.80932464580975,0.1511708173242917,0.5383639018622979,0.9432648401826484
6,8760,52.25119243129338,81.58288019910606,82.87516513712788,-2.1120661401365557,0.7495730545082291,8760,39.56486529680365,91.29147189623868,92.73754236854155,0.4622350988078493,0.6864235726469734,0.9345890410958904
7,8760,69.36134166225908,110.63947403786186,74.01757469460111,6.921813895049862,0.7968563628156571,8760,60.5988105022831,131.7817529850675,88.16171470247356,0.21583429875354718,0.7118002633980822,0.9503424657534246
8,8760,21.7512702449975,30.899728757001462,57.1667683280628,13.594443905739197,0.8363821912305999,8760,19.66085616438356,35.81176966869486,66.25440489034544,0.6876275344237753,0.7802277760352041,0.941324200913242
9,8760,43.66950092874914,64.34822544998451,51.804549726093335,-1.034164891026149,0.8573243846152786,8760,47.54736757990867,85.28164439990888,68.65732748872801,-0.19173246409273753,0.7493961512358986,0.9518264840182649
10,8760,135.5337686856998,230.9269837480337,118.18893754349699,3.86431169936185,0.6157310285145958,8760,100.90454223744291,262.513096098911,134.3547792276934,0.33186925381898,0.5034215139849234,0.9108447488584475
11,8760,350.55756341851844,5890.259483956406,1966.7695703458178,2.5248486974316666,-0.21333925973279166,8760,332.7478367579909,7545.397601895527,2519.423539826902,0.9718611043656161,-0.9910293184063406,0.8976027397260274
12,8760,76.0343323033803,124.67433761899896,100.89212158245763,37.36297418740351,0.7241648679047421,8760,55.08945319634703,128.22801093944452,103.76791501002258,0.6450691968010385,0.7082161489537769,0.9635844748858448
13,8760,2.692670364729174,3.5382337409366307,29.01235929450696,15.06426635478211,0.7325152776509791,8760,1.2082100456621008,2.2183294189454603,18.189575604178042,0.133759504155671,0.894857567553558,0.9916666666666667
14,8760,26.57059253637976,39.857148378619215,79.25084757129395,7.661470286504697,0.7088597610364107,8760,17.945810502283102,45.36746136553626,90.2074009716507,-0.4991903852123948,0.6227938686687782,0.9610730593607306
15,8760,103.00599276007851,158.75117220677316,84.36674795262272,0.6304810769863061,0.7577078585604223,8760,76.97285159817352,171.4139019344484,91.09623103281997,0.5576178318702436,0.7175136099299426,0.9644977168949772
16,6487,62.354830925105574,85.33975544919825,45.879297233549515,7.325076194669757,0.8557413476105236,6487,54.876463696624015,91.825812355108,49.366250425454226,-0.07422746759899224,0.8329799378100425,0.9942962848774473
17,8760,73.02724615094851,119.97252636016347,79.79206574354065,7.766322531027003,0.8232587855368009,8760,65.22431506849315,146.2108191939322,97.24279092461445,0.16460122998420978,0.7374976188768088,0.9515981735159817
18,8760,34.733842409276654,46.84809235062215,32.16504366310549,-3.5273899019841597,0.852490520469757,8760,44.84858447488584,66.33112091265819,45.5417348567886,0.43703747827000283,0.704286752204459,0.9474885844748858
19,8760,83.0213700860212,110.17443461644564,431.5993482954552,317.47850234587986,-6.296045107953651,8760,10.572941780821916,23.8746098447645,93.52683393094998,8.262573101664252,0.6573912774118287,0.8095890410958904
