target,model,split,mae,rmse,r2,explained_variance,mape_percent,baseline_mae,beats_baseline_mae
mean_indoor_temperature_c,random_forest,validation,1.4282442902900305,2.025898239238572,0.9447602683108531,0.9455931482882057,,,
minimum_indoor_temperature_c,gradient_boosting,test,1.576254789024376,2.0596790114468337,0.946196863801272,0.947231773379807,,7.338309349305226,True
minimum_indoor_temperature_c,gradient_boosting,validation,1.7834576465948597,2.411992932648384,0.9211473709811915,0.9212211030715431,,,
minimum_indoor_temperature_c,linear_regression,test,2.6450300381138563,3.4444961307516087,0.8495265400706817,0.8497177447830506,,7.338309349305226,True
minimum_indoor_temperature_c,linear_regression,validation,2.674574873301511,3.3089664475528227,0.8515948942321792,0.8530377265039467,,,
minimum_indoor_temperature_c,random_forest,test,1.0870735283665285,1.7125672850245055,0.9628033531419476,0.9630824897259063,,7.338309349305226,True
minimum_indoor_temperature_c,random_forest,validation,1.442377068580119,2.2944428099034035,0.9286459562843973,0.9286766766654238,,,
percent_time_comfortable,gradient_boosting,test,5.462893515342048,8.947216307120076,0.4987147797204372,0.5048540640928967,,9.535123456790124,True
percent_time_comfortable,gradient_boosting,validation,6.048367005512306,10.005093477015512,0.43436270277916034,0.43482957213394224,,,
percent_time_comfortable,linear_regression,test,7.474288840619059,10.451869043820988,0.315935669197723,0.3193462435345087,,9.535123456790124,True
percent_time_comfortable,linear_regression,validation,7.693145537811102,10.820112622930854,0.33845513962562035,0.3385074152832691,,,
percent_time_comfortable,random_forest,test,4.80869341563786,8.951022231686757,0.4982882203423751,0.5036602864571398,,9.535123456790124,True
percent_time_comfortable,random_forest,validation,4.350606995884774,8.698201699260668,0.5724817236163593,0.572495647418484,,,
thermal_mass_net_kwh,gradient_boosting,test,1.605813575311702,2.1948468818248728,0.927146138258356,0.9276541836014405,,5.575694411016151,True
thermal_mass_net_kwh,gradient_boosting,validation,2.489914698150359,3.9393902408714663,0.8721233550931662,0.8721941024489844,,,
thermal_mass_net_kwh,linear_regression,test,4.35681431000934,5.9646264900989205,0.46196487759497296,0.46668322376754734,,5.575694411016151,True
thermal_mass_net_kwh,linear_regression,validation,5.550207725612339,7.957806503308859,0.47818089730489044,0.4855448615994147,,,
thermal_mass_net_kwh,random_forest,test,1.1412983211705827,1.828914575831749,0.9494139273766377,0.9494157421569897,,5.575694411016151,True
thermal_mass_net_kwh,random_forest,validation,2.1960745267463366,4.03375709463701,0.8659234864383418,0.8669454632978277,,,
total_heat_loss_kwh,gradient_boosting,test,1.6728864564247476,2.247495711342223,0.9236793368058485,0.9255392687774652,12.751282221172232,6.070419102809155,True
total_heat_loss_kwh,gradient_boosting,validation,2.632617641569691,4.270342456685761,0.8213119176156093,0.8255071541640149,15.683979209798316,,
total_heat_loss_kwh,linear_regression,test,4.391422894279892,5.887426169509028,0.4762846054912889,0.4788687866925918,35.42488386949394,6.070419102809155,True
total_heat_loss_kwh,linear_regression,validation,5.3368796711453035,7.884566493922512,0.39084779617814946,0.4054988698903995,34.961926141229014,,
total_heat_loss_kwh,random_forest,test,1.7245542615171439,2.1947078499036317,0.9272223838279257,0.9290902739217399,13.066583142839841,6.070419102809155,True
total_heat_loss_kwh,random_forest,validation,2.481007568766572,4.109726088874393,0.8345007865077491,0.8345282458919909,16.939266834799664,,
total_solar_gain_kwh,gradient_boosting,test,0.2786728754039015,0.388769222506714,0.9928886902976052,0.9933691626123888,5.701672088272453,3.8495991878720006,True
total_solar_gain_kwh,gradient_boosting,validation,0.2532329493161531,0.3592490788753352,0.9948259637351504,0.9948410229857358,4.887925527002167,,
total_solar_gain_kwh,linear_regression,test,1.1320019455623584,1.592041008420649,0.8807456193234179,0.8831713893810328,44.71459869860395,3.8495991878720006,True
total_solar_gain_kwh,linear_regression,validation,1.2530372678549968,1.6888968948110052,0.8856478284583196,0.8875480207208388,43.2008102896373,,
total_solar_gain_kwh,random_forest,test,0.3755536061436434,0.5200283955714151,0.9872761084832921,0.9876542137243477,8.548021722603401,3.8495991878720006,True
total_solar_gain_kwh,random_forest,validation,0.319801184677233,0.5116672017497834,0.9895042542839451,0.9895074319571997,6.9626148729409,,
