target,model,feature,importance,importance_kind
degree_hours_above_comfort,random_forest,thermal_mass_material_stone,0.0012902689066770793,tree_feature_importance
degree_hours_above_comfort,random_forest,window_wall_orientation_west,0.001121707845540548,tree_feature_importance
degree_hours_above_comfort,random_forest,window_wall_orientation_north,0.0008521152895866262,tree_feature_importance
degree_hours_above_comfort,random_forest,orientation_cardinal_west,0.0008280915204373309,tree_feature_importance
degree_hours_above_comfort,random_forest,orientation_cardinal_north,0.0006699394156890014,tree_feature_importance
degree_hours_above_comfort,random_forest,thermal_mass_material_water,1.2882400248988158e-05,tree_feature_importance
degree_hours_above_comfort,random_forest,door_area_m2,0.0,tree_feature_importance
degree_hours_above_comfort,random_forest,height_m,0.0,tree_feature_importance
degree_hours_above_comfort,random_forest,width_m,0.0,tree_feature_importance
degree_hours_above_comfort,random_forest,window_u_value_w_m2k,0.0,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,minimum_outdoor_temperature_c,0.25995058513200936,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,mean_outdoor_temperature_c,0.2523901926973773,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,maximum_outdoor_temperature_c,0.1438244057986534,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,thermal_mass_heat_capacity_kj_k,0.11992480069008532,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,floor_insulation_thickness_m,0.06765023484366037,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,roof_insulation_thickness_m,0.05088961286291252,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_insulation_thickness_m,0.04618167553264245,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,daily_solar_sum_wh_m2,0.039260150176956166,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_area_m2,0.006287135399276889,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_material_timber,0.0047875666176227915,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_solar_heat_gain_coefficient,0.0032889300994032957,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,thermal_mass_material_stone,0.0018639794648019172,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,net_wall_area_m2,0.0009301097380169561,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,thermal_mass_material_none,0.000824892074639725,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,length_m,0.0003775778544308001,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,volume_m3,0.00034349598863253183,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,floor_area_m2,0.0003421948719439064,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,orientation_cardinal_west,0.0002518942187080535,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_wall_orientation_east,0.00019770198518453432,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_material_stone,6.925077469017898e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,orientation_cardinal_east,6.803280921621075e-05,tree_feature_importance
