rows,seed,interval_hours,energy_kwh,heating_kwh_thermal,cooling_kwh_thermal,mean_indoor_temp_c,occupied_comfort_degree_hours,changed_parameter,baseline_value_kw_per_k,changed_value_kw_per_k,baseline_energy_kwh,changed_energy_kwh,energy_change_percent,acceptance
24.0,42.0,1.0,32.176569852204565,69.5297095566137,0.0,19.174110193390515,5.707435252714269,,,,,,,
,,,,,,,,ua_kw_per_k,0.42,0.525,32.176569852204565,36.72163833271514,14.125397770449943,PASS
